UID        PID  PPID  C STIME TTY          TIME CMD
root       128     2  0  2020 ?        00:00:00 [ksmd]
root       129     2  0  2020 ?        00:02:34 [khugepaged]
root       130     2  0  2020 ?        00:00:32 [fsnotify_mark]
root       131     2  0  2020 ?        00:00:00 [crypto]
root       139     2  0  2020 ?        00:00:00 [kthrotld]
root       141     2  0  2020 ?        00:00:00 [kmpath_rdacd]
root       144     2  0  2020 ?        00:00:00 [kpsmoused]
root       165     2  0  2020 ?        00:00:00 [deferwq]
root       198     2  0  2020 ?        00:01:34 [kauditd]
cs20171+   336  1468  0  2020 pts/182  00:00:00 -bash
root       339     2  0  2020 ?        00:00:00 [ata_sff]
root       340     2  0  2020 ?        00:00:00 [mpt_poll_0]
root       341     2  0  2020 ?        00:00:00 [mpt/0]
root       351     2  0  2020 ?        00:00:00 [events_power_ef]
root       367     2  0  2020 ?        00:00:00 [scsi_eh_0]
root       368     2  0  2020 ?        00:00:00 [scsi_tmf_0]
root       369     2  0  2020 ?        00:00:00 [scsi_eh_1]
root       370     2  0  2020 ?        00:00:00 [scsi_tmf_1]
root       374     2  0  2020 ?        00:00:00 [scsi_eh_2]
root       375     2  0  2020 ?        00:00:00 [scsi_tmf_2]
root       376     2  0  2020 ?        00:00:00 [scsi_eh_3]
root       377     2  0  2020 ?        00:00:00 [scsi_tmf_3]
root       384     2  0  2020 ?        00:00:00 [scsi_eh_4]
root       385     2  0  2020 ?        00:00:00 [scsi_tmf_4]
root       402     2  0  2020 ?        00:00:00 [xfsalloc]
root       403     2  0  2020 ?        00:00:00 [xfs_mru_cache]
root       404     2  0  2020 ?        00:00:00 [xfs-buf/sda2]
root       405     2  0  2020 ?        00:00:00 [xfs-data/sda2]
root       406     2  0  2020 ?        00:00:00 [xfs-conv/sda2]
root       407     2  0  2020 ?        00:00:00 [xfs-cil/sda2]
root       408     2  0  2020 ?        01:15:36 [xfsaild/sda2]
root       519     2  0  2020 ?        00:00:00 [rpciod]
root       528     1  0  2020 ?        00:00:00 /usr/sbin/lvmetad -f
hspark     529 14043  0  2020 pts/143  00:00:00 -bash
root       534     1  0  2020 ?        00:00:00 /usr/lib/systemd/systemd-udevd
root       567     2  0  2020 ?        00:00:00 [edac-poller]
root       582     2  0  2020 ?        00:00:00 [kipmi0]
root       587     2  0  2020 ?        00:00:00 [xfs-buf/sdb1]
root       588     2  0  2020 ?        00:00:00 [xfs-data/sdb1]
root       589     2  0  2020 ?        00:00:00 [xfs-conv/sdb1]
root       590     2  0  2020 ?        00:00:00 [xfs-cil/sdb1]
root       591     2  0  2020 ?        00:00:00 [xfsaild/sdb1]
cs20181+   609     1  0  2020 ?        00:20:04 /home1/cse20181106/.vscode-server/extensions/ms-vscode.cpptools-1.0.1/bin/cpptools
root       629     2  0  2020 ?        00:00:00 [xfs-buf/sda3]
root       630     2  0  2020 ?        00:00:00 [xfs-data/sda3]
root       631     2  0  2020 ?        00:00:00 [xfs-conv/sda3]
root       632     2  0  2020 ?        00:00:00 [xfs-cil/sda3]
root       633     2  0  2020 ?        00:00:00 [xfsaild/sda3]
root       656     1  0  2020 ?        00:05:24 /sbin/auditd -n
root       672   656  0  2020 ?        00:06:35 /sbin/audispd
root       673   672  0  2020 ?        00:02:41 /usr/sbin/sedispatch
root       680     1  0  2020 ?        00:00:07 /usr/sbin/alsactl -s -n 19 -c -E ALSA_CONFIG_PATH=/etc/alsa/alsactl.conf --initfile=/lib/alsa/init/00main rdaemon
root       681     1  0  2020 ?        00:00:04 /usr/sbin/smartd -n -q never
root       683     1  0  2020 ?        00:04:42 /usr/sbin/rsyslogd -n
dbus       684     1  0  2020 ?        00:21:17 /bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation
rpc        692     1  0  2020 ?        00:00:34 /sbin/rpcbind -w
libstor+   697     1  0  2020 ?        00:00:49 /usr/bin/lsmd -d
cs20181+   700   609  0  2020 ?        00:04:17 /home1/cse20181106/.vscode-server/extensions/ms-vscode.cpptools-1.0.1/bin/cpptools-srv 609 0
root       711     1  0  2020 ?        00:19:23 /usr/sbin/irqbalance --foreground
root       714     1  0  2020 ?        00:00:32 /usr/sbin/gssproxy -D
root       731     2  0  2020 ?        00:32:40 [kworker/2:1H]
cs20171+   798 32757  0  2020 pts/181  00:00:00 vim Downloads/grade.sh
root       806     2  0  2020 ?        00:00:13 [kworker/4:0H]
root       815     1  0  2020 ?        00:00:10 /usr/sbin/cimserver
root       822     2  0 00:06 ?        00:00:00 [kworker/4:1]
root       989     1  0  2020 ?        00:27:50 /usr/bin/python -Es /usr/sbin/tuned -l -P
root       991     1  0  2020 ?        00:01:12 /usr/sbin/sshd -D
root       993     1  0  2020 ?        00:00:00 /usr/sbin/xinetd -stayalive -pidfile /var/run/xinetd.pid
root       994     2  0  2020 ?        00:37:11 [kworker/0:1H]
rpcuser   1026     1  0  2020 ?        00:00:00 /usr/sbin/rpc.statd --no-notify
nobody    1029     1  0  2020 ?        00:17:42 /usr/sbin/gmond
root      1050     2  0  2020 ?        00:00:00 [nfsiod]
root      1057     2  0  2020 ?        00:28:37 [kworker/6:1H]
root      1064     2  0  2020 ?        00:00:00 [lockd]
root      1077     1  0  2020 ?        00:03:56 /usr/sbin/ypbind -n
cs20171+  1095  1468  0  2020 pts/93   00:00:00 -bash
cs20171+  1140  1468  0  2020 pts/95   00:00:00 -bash
root      1238     2  0  2020 ?        00:24:16 [kworker/3:1H]
root      1307     1  0  2020 ?        00:00:41 /usr/sbin/crond -n
root      1368     1  0  2020 tty1     00:00:00 /sbin/agetty --noclear tty1 linux
root      1433     1  0  2020 ?        00:58:00 /opt/sge/bin/lx-amd64/sge_execd
cs20171+  1468     1  0  2020 ?        00:59:39 tmux
cs20171+  1469  1468  0  2020 pts/89   00:00:00 -bash
cs20171+  1512  1468  0  2020 pts/96   00:00:00 -bash
cs20171+  1565  1469  0  2020 pts/89   00:00:00 vim main.cpp
cs20171+  1598  1512  0  2020 pts/96   00:00:00 vim LinkedList.h
cs20171+  1793  1468  0  2020 pts/57   00:00:00 -bash
pl20141+  2067     1  0  2020 ?        00:08:22 tmux
pl20141+  2068  2067  0  2020 pts/61   00:00:00 -bash
pl20141+  2114  2067  0  2020 pts/62   00:00:00 -bash
cs20161+  2118     1  0  2020 ?        00:00:00 vim sort.h
pl20141+  2212  2114  0  2020 pts/62   00:00:00 vim flexk_check
pl20141+  2226  2067  0  2020 pts/63   00:00:00 -bash
cs20171+  2502     1  0  2020 ?        00:00:00 vim a.cpp
cs20151+  2743 25048  0  2020 pts/1    00:00:00 -bash
cs20171+  2830  1095  0  2020 pts/93   00:00:00 vim queue.h
cs20151+  2864 25048  0  2020 pts/11   00:00:00 -bash
root      2980     2  0  2020 ?        00:48:07 [kworker/7:1H]
root      3129     1  0  2020 ?        00:06:59 /usr/libexec/packagekitd
polkitd   3133     1  0  2020 ?        00:05:48 /usr/lib/polkit-1/polkitd --no-debug
sp20191+  3448     1  0  2020 ?        00:14:27 /home1/sp20191339/.vscode-server/extensions/ms-vscode.cpptools-1.1.2/bin/cpptools
sp20191+  3509  3448  0  2020 ?        00:03:11 /home1/sp20191339/.vscode-server/extensions/ms-vscode.cpptools-1.1.2/bin/cpptools-srv 3448 0
